"","block.number","subject.number","condition","W1","W2","W3","W4","W5","W6","W7.这个.那个.","W8.Nd.","ProbTime","ProbResponse","CorrAns","w2_o","w3_o","w4_o","w5_o"
"19","2",3,"OO2",0.592299601999911,0.30565271100022,0.033470187001512,0.066542874999868,2.10944602499876,1.41356355700008,0.224082212000212,0.069866480000201,2.14144676,"right","Y",FALSE,TRUE,FALSE,TRUE
"20","2",3,"OO2",0.435511110999868,0.267955723000341,0.136207200999706,0.013642836000145,0.098781521001001,0.084019812000406,0.293825112001286,0.131589130000065,2.08003998,"left","Y",FALSE,FALSE,TRUE,FALSE
"21","3",3,"OO2",0.6188369219999,0.302812827998423,0.256386028002452,0.2387250210013,0.224716894001176,1.7201082749998,0.201815470998553,0.196532743000716,2.33577567700194,"right","Y",FALSE,FALSE,FALSE,FALSE
"22","3",3,"OO2",0.412409985001431,0.249987940998835,0.303147531998547,0.261442978000559,0.923684101999242,0.225407677000475,0.236723688001802,0.262856516001193,3.19719646799785,"right","N",FALSE,FALSE,FALSE,FALSE
"23","3",3,"OO2",0.191572423998877,0.22960927999884,0.131219724000402,0.229029892001562,0.339790944999549,0.200499810998735,0.100197026000387,0.222509979001188,2.27579304800019,"right","N",FALSE,FALSE,FALSE,FALSE
"24","3",3,"OO2",0.284531152999989,0.134335328999441,0.041867068001011,0.105948149001051,0.145662775001255,0.620906477000971,0.055240740999579,0.065444694999314,1.34049689099992,"right","Y",FALSE,TRUE,FALSE,FALSE
"25","3",3,"OO2",0.503468800001428,0.211366012001235,0.083870503996877,0.435604633999901,0.350824768000165,0.596510368999588,0.213150483003119,0.204477601000689,3.66765753000072,"left","N",FALSE,FALSE,FALSE,FALSE
"26","3",3,"OO2",0.919114483000157,0.414535822001198,0.045150411999202,0.28569116500148,0.611877516999811,0.221985226999095,0.188943713001208,0.088748214002408,2.88817940199805,"right","Y",FALSE,TRUE,FALSE,FALSE
"27","3",3,"OO2",0.060623302000749,0.283832534998509,0.066770459998224,0.104494580999016,0.624321933999453,0.251756256999215,0.105380528002569,0.101017752000188,2.13993542699972,"left","N",FALSE,FALSE,FALSE,FALSE
"28","3",3,"OO2",0.992201064000255,0.175184589999844,0.256576783001946,0.371949902000778,0.393642099999851,0.312591515001258,0.116679422000743,0.116114225998899,2.82777896200059,"right","Y",FALSE,FALSE,FALSE,FALSE
"29","3",3,"OO2",0.715136557999358,0.230282200001965,0.081618549000268,0.430412316000001,0.352546682999673,1.21140952900168,0.051426786998491,0.0391610939987,1.36075350000101,"right","Y",FALSE,FALSE,FALSE,FALSE
"30","3",3,"OO2",0.585358291999,0.311824946998967,0.366804188000969,0.170157992000895,0.132923206998384,0.157550296000408,0.31125484000222,0.313485801001661,1.81529424000109,"left","N",FALSE,FALSE,FALSE,FALSE
"31","4",3,"OO2",0.525341566000861,0.179454003002319,-0.002912487998401,0.014884184998664,0.033562226999493,0.297663539000495,0.085451412000111,-0.009183155998471,1.94913337099933,"left","Y",FALSE,TRUE,TRUE,TRUE
"32","4",3,"OO2",0.34597295000276,0.08879072900163,0.201071162999141,0.186736954001389,0.305920225000591,0.226489755001239,0.066245062000235,0.328747608000412,1.81190025699834,"right","Y",FALSE,FALSE,FALSE,FALSE
"33","4",3,"OO2",0.349811693002266,0.16510256300171,0.110670834001211,0.45420252599797,0.338864836001448,0.252157172999432,0.013295303000632,0.343365008000546,8.75695296499907,"right","N",FALSE,FALSE,FALSE,FALSE
"34","4",3,"OO2",0.318068003001826,0.248410448999493,0.033484020998003,0.135584866999124,0.414902500000607,0.224413992000336,0.037830445999134,0.001505443997303,1.7012588189973,"left","N",FALSE,TRUE,FALSE,FALSE
"35","4",3,"OO2",0.592820673999085,-0.024623463999887,0.026164105001953,0.073306086997036,0.375218943998334,0.278413681000529,0.014749497000594,0.035644182997203,4.2800877280024,"left","Y",TRUE,TRUE,FALSE,FALSE
"36","4",3,"OO2",0.395650267997552,0.135822795000422,0.012797022001905,0.123339662000944,0.110513979998358,0.219885627000621,0.05319293499997,0.025778778999666,6.38143477199992,"left","N",FALSE,TRUE,FALSE,FALSE
"37","4",3,"OO2",0.309735816001193,0.196505337000417,0.22186142099963,0.023145174000092,0.079054485999222,0.159271305998117,0.128588135001336,0.081438122000691,1.6207982909982,"left","N",FALSE,FALSE,TRUE,FALSE
"38","4",3,"OO2",0.332976200999837,0.113343411001551,0.047458418001042,0.039965555999515,0.145425203998456,0.203677940000488,0.086032891998912,-0.007245119999425,1.2141061029979,"right","Y",FALSE,TRUE,TRUE,FALSE
"39","4",3,"OO2",0.320752076000644,0.075153557001613,0.066160128000774,0.078915343001427,0.163120320998132,0.310547732999111,0.035950255001808,0.335349901997688,3.58748911699876,"right","Y",FALSE,FALSE,FALSE,FALSE
"40","4",3,"OO2",0.472945670000626,0.24315790699984,0.23087191200102,0.249856103997444,0.322646871998586,0.273629958999663,0.061627077000594,0.20990266499939,1.89489769600186,"left","N",FALSE,FALSE,FALSE,FALSE
